deep_seq	shallow_seq
MFD00905	MFD02226
MFD00905	MFD02228
MFD00905	MFD02257
MFD00905	MFD02269
MFD00905	MFD02288
MFD00905	MFD02318
MFD00905	MFD02534
MFD00905	MFD02569
MFD00905	MFD02754
MFD00905	MFD02770
MFD00905	MFD02787
MFD00905	MFD02848
MFD00905	MFD03632
MFD00905	MFD03667
MFD00905	MFD03720
MFD00905	MFD03774
MFD00905	MFD03778
MFD00905	MFD03787
MFD00905	MFD03790
MFD00905	MFD03830
MFD00905	MFD03853
MFD00905	MFD03896
MFD00905	MFD03921
MFD00905	MFD03927
MFD00905	MFD03944
MFD00905	MFD03966
MFD00905	MFD04258
MFD00905	MFD04295
MFD00905	MFD04314
MFD00905	MFD04362
MFD00905	MFD04391
MFD00905	MFD04480
MFD00905	MFD04691
MFD00905	MFD04710
MFD00905	MFD05548
MFD00905	MFD09310
MFD00905	MFD09725
MFD00905	MFD09827
MFD00905	MFD09981
MFD00962	MFD00264
MFD00962	MFD00341
MFD00962	MFD00372
MFD00962	MFD00373
MFD00962	MFD00397
MFD00962	MFD00400
MFD00962	MFD00401
MFD00962	MFD00402
MFD00962	MFD00552
MFD00962	MFD00876
MFD00962	MFD01206
MFD00962	MFD01214
MFD00962	MFD01272
MFD00962	MFD01524
MFD00962	MFD01708
MFD00962	MFD03593
MFD00962	MFD04042
MFD00962	MFD04109
MFD00962	MFD04161
MFD00962	MFD04211
MFD00962	MFD04582
MFD00962	MFD05126
MFD00962	MFD05151
MFD00962	MFD05208
MFD00962	MFD05567
MFD00962	MFD05813
MFD00962	MFD05886
MFD00962	MFD06159
MFD00962	MFD06437
MFD00962	MFD06695
MFD00962	MFD06781
MFD00962	MFD06824
MFD00962	MFD06900
MFD00962	MFD06905
MFD00962	MFD07143
MFD00962	MFD07472
MFD00962	MFD08502
MFD00962	MFD08517
MFD00962	MFD08945
MFD00962	MFD09059
MFD00962	MFD09102
MFD00962	MFD09267
MFD00962	MFD09453
MFD00962	MFD09478
MFD00962	MFD09518
MFD00962	MFD09532
MFD00962	MFD10147
MFD00962	MFD10162
MFD00962	MFD10678
MFD00962	MFD10945
MFD00964	MFD00124
MFD00964	MFD00271
MFD00964	MFD00289
MFD00964	MFD00307
MFD00964	MFD00731
MFD00964	MFD00903
MFD00964	MFD01010
MFD00964	MFD01014
MFD00964	MFD01023
MFD00964	MFD01317
MFD00964	MFD01343
MFD00964	MFD01344
MFD00964	MFD01409
MFD00964	MFD01633
MFD00964	MFD01705
MFD00964	MFD01877
MFD00964	MFD02124
MFD00964	MFD02173
MFD00964	MFD02244
MFD00964	MFD02252
MFD00964	MFD02379
MFD00964	MFD02386
MFD00964	MFD02453
MFD00964	MFD03612
MFD00964	MFD04478
MFD00964	MFD04516
MFD00964	MFD04738
MFD00964	MFD04796
MFD00964	MFD04862
MFD00964	MFD04927
MFD00964	MFD05049
MFD00964	MFD05432
MFD00964	MFD05449
MFD00964	MFD05466
MFD00964	MFD05494
MFD00964	MFD05532
MFD00964	MFD05712
MFD00964	MFD06105
MFD00964	MFD06122
MFD00964	MFD06133
MFD00964	MFD06142
MFD00964	MFD06182
MFD00964	MFD06478
MFD00964	MFD06513
MFD00964	MFD06591
MFD00964	MFD09312
MFD00964	MFD09574
MFD00964	MFD09637
MFD00964	MFD10067
MFD00964	MFD10072
MFD01112	MFD00007
MFD01112	MFD00086
MFD01112	MFD00104
MFD01112	MFD00111
MFD01112	MFD00112
MFD01112	MFD00113
MFD01112	MFD00306
MFD01112	MFD00308
MFD01112	MFD00329
MFD01112	MFD00412
MFD01112	MFD00673
MFD01112	MFD00852
MFD01112	MFD00971
MFD01112	MFD01124
MFD01112	MFD01188
MFD01112	MFD01418
MFD01112	MFD01567
MFD01112	MFD01689
MFD01112	MFD01805
MFD01112	MFD01828
MFD01112	MFD01857
MFD01112	MFD01919
MFD01112	MFD02138
MFD01112	MFD02541
MFD01112	MFD02725
MFD01112	MFD02961
MFD01112	MFD03021
MFD01112	MFD03044
MFD01112	MFD03092
MFD01112	MFD03772
MFD01112	MFD04492
MFD01112	MFD04494
MFD01112	MFD04752
MFD01112	MFD04813
MFD01112	MFD04899
MFD01112	MFD04928
MFD01112	MFD05467
MFD01112	MFD05512
MFD01112	MFD05686
MFD01112	MFD05752
MFD01112	MFD06435
MFD01112	MFD06593
MFD01112	MFD06947
MFD01112	MFD06949
MFD01112	MFD09455
MFD01112	MFD09530
MFD01112	MFD09551
MFD01112	MFD09567
MFD01112	MFD09592
MFD01112	MFD09594
MFD01138	MFD00022
MFD01138	MFD00026
MFD01138	MFD00265
MFD01138	MFD00584
MFD01138	MFD00731
MFD01138	MFD00903
MFD01138	MFD00950
MFD01138	MFD00961
MFD01138	MFD01023
MFD01138	MFD01166
MFD01138	MFD01755
MFD01138	MFD01766
MFD01138	MFD01878
MFD01138	MFD02386
MFD01138	MFD02453
MFD01138	MFD02560
MFD01138	MFD02955
MFD01138	MFD03962
MFD01138	MFD04204
MFD01138	MFD04374
MFD01138	MFD04516
MFD01138	MFD04738
MFD01138	MFD04779
MFD01138	MFD04796
MFD01138	MFD04824
MFD01138	MFD04993
MFD01138	MFD05034
MFD01138	MFD05373
MFD01138	MFD05382
MFD01138	MFD05452
MFD01138	MFD05494
MFD01138	MFD05712
MFD01138	MFD05717
MFD01138	MFD05719
MFD01138	MFD06134
MFD01138	MFD06141
MFD01138	MFD06142
MFD01138	MFD06191
MFD01138	MFD06513
MFD01138	MFD06518
MFD01138	MFD06671
MFD01138	MFD06721
MFD01138	MFD09380
MFD01138	MFD09409
MFD01138	MFD09427
MFD01138	MFD09493
MFD01138	MFD09522
MFD01138	MFD09620
MFD01138	MFD09627
MFD01138	MFD10953
MFD01213	MFD00013
MFD01213	MFD00020
MFD01213	MFD00044
MFD01213	MFD00048
MFD01213	MFD00062
MFD01213	MFD00088
MFD01213	MFD00351
MFD01213	MFD00367
MFD01213	MFD00509
MFD01213	MFD00556
MFD01213	MFD00705
MFD01213	MFD00743
MFD01213	MFD01071
MFD01213	MFD01366
MFD01213	MFD01378
MFD01213	MFD01439
MFD01213	MFD01453
MFD01213	MFD01514
MFD01213	MFD01590
MFD01213	MFD01791
MFD01213	MFD02171
MFD01213	MFD02495
MFD01213	MFD03682
MFD01213	MFD03683
MFD01213	MFD04513
MFD01213	MFD04562
MFD01213	MFD04580
MFD01213	MFD04636
MFD01213	MFD04719
MFD01213	MFD04751
MFD01213	MFD04859
MFD01213	MFD04910
MFD01213	MFD05495
MFD01213	MFD05557
MFD01213	MFD05608
MFD01213	MFD05753
