fieldsample_barcode	habitat_typenumber	mfd_sampletype	mfd_areatype	mfd_hab1	mfd_hab2	mfd_hab3	longitude	latitude	assembled	reads_n	reads_size_bp	reads_N50_bp	reads_len_max_bp	reads_len_min_bp	reads_mean_len_bp	reads_median_len_bp	reads_mean_q	reads_median_q	contigs_n	contigs_size_bp	contigs_N50_bp	contigs_len_max_bp	contigs_len_min_bp	contigs_mean_len_bp	contigs_median_len_bp	HQ_mags	MQ_mags	r_abund	r_abund_hq	nanopore	speed_bps	sampling_khz	device	minknow_v	basecaller	basecaller_v	mmlong2_v	ENA_id	ENA_raw1	ENA_raw2	ENA_raw3	ENA_reads
MFD02138	7140	Soil	Natural	Bogs, mires and fens	Sphagnum acid bogs	Quaking bogs	10.5085	56.4556	50.774	44186844	38072146789	1258	604415	200	861	518	12.2	16	88893	862739586	11872	2625686	3000	9705	5801	15	62	48.72	16.924	R10.4.1	400	4	P24	22.12.5	Guppy	6.4.6	1.0.1	ERS14381657	ERX10668859	ERX10668860	ERX10668861	ERX10929534
MFD02159	6430	Soil	Natural	Grassland formations	Semi-natural tall-herb humid meadows	Hydrophilous tall-herb swamp	9.9165	56.3377	56.245	22909983	84328161597	6052	333609	200	3680	2980	12.9	17.7	58012	1537476742	58916	1471575	3000	26502	11859	20	94	34.478	7.556	R10.4.1	400	4	P24	22.12.5	Guppy	6.4.6	1.0.1	ERS15928276	ERX11129099	ERX11129100	ERX11129101	ERX11147784
MFD02199	6430	Soil	Natural	Grassland formations	Semi-natural tall-herb humid meadows	Hydrophilous tall-herb swamp	9.655	55.5948	61.961	12197320	92531655410	10379	244096	200	7586	6447	16.6	17.6	69874	2513002472	82368	4227830	3000	35964	16009	20	139	33.391	5.211	R10.4.1	400	4	P24	22.12.5	Guppy	6.4.6	1.0.1	ERS14381633	ERX10639816	ERX10639817	ERX10639818	ERX10929535
MFD02242	6430	Soil	Natural	Grassland formations	Semi-natural tall-herb humid meadows	Hydrophilous tall-herb swamp	10.105	56.2065	64.176	31901251	156412722843	7307	1067424	200	4903	4162	16.8	19.3	61124	2919838177	127592	4162540	3000	47769	18395	45	194	34.556	8.896	R10.4.1	400	5	P24	23.04.5	Guppy	6.5.7	1.0.2	ERS15928277	ERX11277737	ERX11277738	ERX11277739	ERX11420359
MFD02248	4110	Soil	Natural	Temperate heath and scrub	Temperate heath	Wet heath	10.9751	57.2786	73.676	24234527	116784577760	6170	394625	200	4818	4259	13	17.6	46718	2113637856	144850	8318174	3000	45242	15406	65	104	40.591	22.159	R10.4.1	400	4	P24	22.12.5	Guppy	6.4.6	1.0.1	ERS14381658	ERX10689290	ERX10689291	ERX10689292	ERX10929536
MFD02360	6210	Soil	Natural	Grassland formations	Semi-natural dry grasslands	Calcareous grassland	8.7192	57.0795	60.722	28864326	152851832053	7294	706317	200	5295	4464	18.6	19.3	78802	3030460982	75274	3128296	3000	38456	19884	32	157	28.236	6.348	R10.4.1	400	5	P24	23.04.5	Guppy	6.5.7	1.0.2	ERS15928278	ERX11253771	ERX11253772	ERX11253773	ERX11419406
MFD02416	1340	Soil	Natural	Coastal	Salt marshes and salt meadows	Inland salt meadows	9.5553	56.8577	80.077	39679836	148472945224	6227	367348	200	3741	2912	13.5	17.3	62133	2821772803	207049	7003164	3000	45415	12293	158	222	65.589	35.39	R10.4.1	400	4	P24	22.12.5	Guppy	6.4.6	1.0.1	ERS14381625	ERX10614349	ERX10614350	ERX10614351	ERX10975314
MFD02472	4110	Soil	Natural	Temperate heath and scrub	Temperate heath	Wet heath	10.2692	56.8232	59.813	29853257	37288737083	3220	518160	200	1249	499	10.1	16.2	95000	1388257996	21686	2117271	3000	14613	8270	10	58	31.862	8.698	R10.4.1	400	4	P24	22.12.5	Guppy	6.4.6	1.0.1	ERS14381626	ERX10599528	ERX10599529	ERX10599530	ERX10995504
MFD02579	7150	Soil	Natural	Bogs, mires and fens	Sphagnum acid bogs	Rhynchosporion depressions	10.9905	57.2803	70.499	10498817	63664690632	9168	346706	200	6063	5354	16.9	16.8	28980	1420564436	131195	8310967	3000	49018	18252	34	58	51.267	22.016	R10.4.1	400	4	P24	22.12.5	Guppy	6.4.6	1.0.1	ERS14381623	ERX10514062	ERX10514063	ERX10514064	ERX10975315
MFD02581	1220	Soil	Natural	Coastal	Sea cliffs and shingle or stony beaches	Perennial vegetation of stony banks	8.5876	56.7958	66.887	40019822	103196214550	5426	502626	200	2578	1266	13.4	17.7	63522	2113577660	107591	6517676	3000	33273	10927	72	168	52.831	18.413	R10.4.1	400	4	P24	22.12.5	Guppy	6.4.6	1.0.1	ERS14381656	ERX10672926	ERX10672927	ERX10672928	ERX10929539
