fieldsample_barcode	habitat_typenumber	mfd_sampletype	mfd_areatype	mfd_hab1	mfd_hab2	mfd_hab3	longitude	latitude	flat_name	after_total_reads	after_total_bases
MFD12961	1210	Sediment	Subterranean	Saltwater	Open sea	Baltic Sea	15.094668	55.53359132	LIB-MJ386-H9_04.fastq.gz	28299686	4095161478
MFD12962	1210	Sediment	Subterranean	Saltwater	Open sea	Baltic Sea	15.39377727	55.53538312	LIB-MJ386-B8_04.fastq.gz	27460402	3975632700
MFD12963	1210	Sediment	Subterranean	Saltwater	Open sea	Baltic Sea	15.3146058	55.53700208	LIB-MJ388-F11_02.fastq.gz	11260668	1548138285
MFD12964	1210	Sediment	Subterranean	Saltwater	Open sea	Baltic Sea	14.6426909	55.36553978	LIB-MJ387-C4_01.fastq.gz	86	11916
MFD12965	1210	Sediment	Subterranean	Saltwater	Open sea	Baltic Sea	14.6426909	55.36553978	LIB-MJ387-G5_01.fastq.gz	17001368	2287915338
MFD12966	1210	Sediment	Subterranean	Saltwater	Open sea	Baltic Sea	14.81133819	55.47400626	LIB-MJ387-F5_01.fastq.gz	7774562	1053535458
MFD12967	1210	Sediment	Subterranean	Saltwater	Open sea	Baltic Sea	14.70069639	55.40153229	LIB-MJ386-B5_04.fastq.gz	10721992	1572578367
MFD12968	1210	Sediment	Subterranean	Saltwater	Open sea	Baltic Sea	14.87902127	55.50550278	LIB-MJ384-E10_01.fastq.gz	15963672	2196439374
MFD12969	1210	Sediment	Subterranean	Saltwater	Open sea	Baltic Sea	14.70069639	55.40153229	LIB-MJ387-D11_01.fastq.gz	25549040	3686949863
MFD12970	1210	Sediment	Subterranean	Saltwater	Open sea	Baltic Sea	14.75548862	55.43746872	LIB-MJ387-C12_01.fastq.gz	16562772	2392486897
MFD12971	1210	Sediment	Subterranean	Saltwater	Open sea	Baltic Sea	15.3146058	55.53700208	LIB-MJ382-B12_02.fastq.gz	995834	141932987
MFD12972	1210	Sediment	Subterranean	Saltwater	Open sea	Baltic Sea	15.3146058	55.53700208	LIB-MJ380-E9_03.fastq.gz	952	132320
MFD12973	1210	Sediment	Subterranean	Saltwater	Open sea	Baltic Sea	15.3146058	55.53700208	LIB-MJ383-D3_01.fastq.gz	62710346	8809350842
MFD12974	1210	Sediment	Subterranean	Saltwater	Open sea	Baltic Sea	15.3146058	55.53700208	LIB-MJ385-E3_04.fastq.gz	614386	82507520
MFD12975	1210	Sediment	Subterranean	Saltwater	Open sea	Baltic Sea	15.3146058	55.53700208	LIB-MJ384-F6_01.fastq.gz	20845116	2946805519
MFD12976	1210	Sediment	Subterranean	Saltwater	Open sea	Baltic Sea	NA	NA	LIB-MJ383-C12_01.fastq.gz	5882	840123
MFD12977	1210	Sediment	Subterranean	Saltwater	Open sea	Baltic Sea	NA	NA	LIB-MJ381-B9_02.fastq.gz	149262	21267795
MFD12978	1210	Sediment	Subterranean	Saltwater	Open sea	Baltic Sea	14.87902127	55.50550278	LIB-MJ384-D5_01.fastq.gz	26252964	3619536620
MFD12979	1210	Sediment	Subterranean	Saltwater	Open sea	Baltic Sea	14.87902127	55.50550278	LIB-MJ384-A10_01.fastq.gz	25800564	3638437479
MFD12980	1210	Sediment	Subterranean	Saltwater	Open sea	Baltic Sea	14.87902127	55.50550278	LIB-MJ383-H9_01.fastq.gz	25362748	3673620418
MFD12981	1210	Sediment	Subterranean	Saltwater	Open sea	Baltic Sea	14.87902127	55.50550278	LIB-MJ382-A9_02.fastq.gz	6091254	833364676
MFD12982	1210	Sediment	Subterranean	Saltwater	Open sea	Baltic Sea	14.87902127	55.50550278	LIB-MJ384-B11_01.fastq.gz	26611346	3635816605
MFD12983	1210	Sediment	Subterranean	Saltwater	Open sea	Baltic Sea	14.87902127	55.50550278	LIB-MJ383-G1_01.fastq.gz	39035412	5310958752
MFD12984	1210	Sediment	Subterranean	Saltwater	Open sea	Baltic Sea	14.73134975	55.45212925	LIB-MJ382-H4_02.fastq.gz	15247482	2031078144
MFD12985	1210	Sediment	Subterranean	Saltwater	Open sea	Baltic Sea	14.73134975	55.45212925	LIB-MJ382-F7_02.fastq.gz	11513180	1552571508
MFD12986	1210	Sediment	Subterranean	Saltwater	Open sea	Baltic Sea	14.73134975	55.45212925	LIB-MJ382-H3_02.fastq.gz	10649696	1437451646
MFD12987	1210	Sediment	Subterranean	Saltwater	Open sea	Baltic Sea	14.73134975	55.45212925	LIB-MJ380-D8_03.fastq.gz	21263012	2800864856
MFD12988	1210	Sediment	Subterranean	Saltwater	Open sea	Baltic Sea	14.73134975	55.45212925	LIB-MJ380-B4_03.fastq.gz	19896376	2915320545
MFD12989	1210	Sediment	Subterranean	Saltwater	Open sea	Baltic Sea	14.73134975	55.45212925	LIB-MJ382-A10_02.fastq.gz	10823936	1593849921
MFD12990	1210	Sediment	Subterranean	Saltwater	Open sea	Baltic Sea	14.53281735	55.29179353	LIB-MJ381-D4_02.fastq.gz	473812	67903801
MFD12991	1210	Sediment	Subterranean	Saltwater	Open sea	Baltic Sea	14.53281735	55.29179353	LIB-MJ381-G8_02.fastq.gz	15222	2109265
MFD12992	1210	Sediment	Subterranean	Saltwater	Open sea	Baltic Sea	14.53281735	55.29179353	LIB-MJ383-A3_01.fastq.gz	23850	3455384
MFD12993	1210	Sediment	Subterranean	Saltwater	Open sea	Baltic Sea	14.53281735	55.29179353	LIB-MJ380-A1_03.fastq.gz	19814	2862201
MFD12994	1210	Sediment	Subterranean	Saltwater	Open sea	Baltic Sea	14.53281735	55.29179353	LIB-MJ382-D10_02.fastq.gz	1548	221909
MFD12995	1210	Sediment	Subterranean	Saltwater	Open sea	Baltic Sea	14.53281735	55.29179353	LIB-MJ383-H2_01.fastq.gz	10554	1505087
MFD12996	1210	Sediment	Subterranean	Saltwater	Open sea	Baltic Sea	14.42586797	55.2138769	LIB-MJ383-B7_01.fastq.gz	442174	63486223
MFD12997	1210	Sediment	Subterranean	Saltwater	Open sea	Baltic Sea	14.42586797	55.2138769	LIB-MJ384-A9_01.fastq.gz	13116	1787587
MFD12998	1210	Sediment	Subterranean	Saltwater	Open sea	Baltic Sea	14.42586797	55.2138769	LIB-MJ380-H3_03.fastq.gz	36665258	5166126319
MFD12999	1210	Sediment	Subterranean	Saltwater	Open sea	Baltic Sea	14.42586797	55.2138769	LIB-MJ381-C8_02.fastq.gz	6584	912733
MFD13000	1210	Sediment	Subterranean	Saltwater	Open sea	Baltic Sea	14.42586797	55.2138769	LIB-MJ383-E11_01.fastq.gz	3888	555951
MFD13001	1210	Sediment	Subterranean	Saltwater	Open sea	Baltic Sea	14.42586797	55.2138769	LIB-MJ384-G5_01.fastq.gz	38194754	5245638723
MFD13002	1210	Sediment	Subterranean	Saltwater	Open sea	Baltic Sea	14.47635986	54.8086208	LIB-MJ385-A10_04.fastq.gz	5392412	750479394
MFD13003	1210	Sediment	Subterranean	Saltwater	Open sea	Baltic Sea	14.47635986	54.8086208	LIB-MJ380-A9_03.fastq.gz	233056	33030457
MFD13004	1210	Sediment	Subterranean	Saltwater	Open sea	Baltic Sea	14.47635986	54.8086208	LIB-MJ385-D8_04.fastq.gz	8848	1269226
MFD13005	1210	Sediment	Subterranean	Saltwater	Open sea	Baltic Sea	14.47635986	54.8086208	LIB-MJ382-E5_02.fastq.gz	11054134	1502898926
MFD13006	1210	Sediment	Subterranean	Saltwater	Open sea	Baltic Sea	14.47635986	54.8086208	LIB-MJ385-C5_04.fastq.gz	3780	509308
MFD13007	1210	Sediment	Subterranean	Saltwater	Open sea	Baltic Sea	14.47635986	54.8086208	LIB-MJ385-B5_04.fastq.gz	12746	1667404
MFD13008	1210	Sediment	Subterranean	Saltwater	Open sea	Baltic Sea	14.48781091	54.89984738	LIB-MJ383-D11_01.fastq.gz	2780	400272
MFD13009	1210	Sediment	Subterranean	Saltwater	Open sea	Baltic Sea	14.48781091	54.89984738	LIB-MJ385-H1_04.fastq.gz	252616	36772100
MFD13010	1210	Sediment	Subterranean	Saltwater	Open sea	Baltic Sea	14.48781091	54.89984738	LIB-MJ383-B3_01.fastq.gz	6576284	957312501
MFD13011	1210	Sediment	Subterranean	Saltwater	Open sea	Baltic Sea	14.48781091	54.89984738	LIB-MJ383-G3_01.fastq.gz	7732	1125271
MFD13012	1210	Sediment	Subterranean	Saltwater	Open sea	Baltic Sea	14.48781091	54.89984738	LIB-MJ383-G4_01.fastq.gz	4344	629116
MFD13013	1210	Sediment	Subterranean	Saltwater	Open sea	Baltic Sea	14.48781091	54.89984738	LIB-MJ380-C11_03.fastq.gz	626	86418
MFD13014	1210	Sediment	Subterranean	Saltwater	Open sea	Baltic Sea	NA	NA	LIB-MJ380-H10_03.fastq.gz	22566	3283961
MFD13015	1210	Sediment	Subterranean	Saltwater	Open sea	Baltic Sea	NA	NA	LIB-MJ385-B3_04.fastq.gz	805416	116075543
MFD13016	1210	Sediment	Subterranean	Saltwater	Open sea	Baltic Sea	NA	NA	LIB-MJ382-E6_02.fastq.gz	89762	12707775
