Genus,n_observations,n_abundant,mean_abundance,Genus_type,mfd_areatype,group_size,Core,prevalence,fidelity
MFD_g_812630,23,20,0.279995564426702,Core,"Sediment, Subterranean",36,18,0.638888888888889,1
MFD_g_10875,26,20,0.271678864493236,Core,"Sediment, Subterranean",36,18,0.722222222222222,1
MFD_g_5611,32,22,0.252273231315147,Core,"Sediment, Subterranean",36,18,0.888888888888889,1
MFD_g_5665,28,22,0.249500998003992,Core,"Sediment, Subterranean",36,18,0.777777777777778,1
MFD_g_1043006,32,19,0.213461964958971,Core,"Sediment, Subterranean",36,18,0.888888888888889,1
MFD_g_8577,23,19,0.202373031714349,Core,"Sediment, Subterranean",36,18,0.638888888888889,1
MFD_g_60466,26,18,0.202373031714349,Core,"Sediment, Subterranean",36,18,0.722222222222222,1
Bacillus,187,173,1.89805574037111,Core,"Sediment, Urban",216,108,0.865740740740741,6
Clostridium_sensu_stricto_1,183,171,1.5441339543136,Core,"Sediment, Urban",216,108,0.847222222222222,3
Clostridium_sensu_stricto_13,181,154,0.776225327123531,Core,"Sediment, Urban",216,108,0.837962962962963,4
MFD_g_2945,187,178,0.761902121682561,Core,"Sediment, Urban",216,108,0.865740740740741,2
Mycobacterium,194,169,0.66487395579212,Core,"Sediment, Urban",216,108,0.898148148148148,7
Desulfobacca,164,147,0.596492200783618,Core,"Sediment, Urban",216,108,0.759259259259259,2
Luteolibacter,188,162,0.5914097730465,Core,"Sediment, Urban",216,108,0.87037037037037,3
MFD_g_782,185,174,0.529034523545502,Core,"Sediment, Urban",216,108,0.856481481481482,4
Methanosaeta,156,140,0.510552968137799,Core,"Sediment, Urban",216,108,0.722222222222222,1
Nocardioides,160,130,0.486526946107785,Core,"Sediment, Urban",216,108,0.740740740740741,6
MFD_g_657,158,130,0.466659274044504,Core,"Sediment, Urban",216,108,0.731481481481482,1
Spirochaeta,160,133,0.453722185259112,Core,"Sediment, Urban",216,108,0.740740740740741,3
MFD_g_561,159,133,0.433854513195831,Core,"Sediment, Urban",216,108,0.736111111111111,2
Anaeromyxobacter,157,125,0.417221113328898,Core,"Sediment, Urban",216,108,0.726851851851852,2
MFD_g_4212,170,152,0.409366452280624,Core,"Sediment, Urban",216,108,0.787037037037037,2
Syntrophorhabdus,167,144,0.403359946773121,Core,"Sediment, Urban",216,108,0.773148148148148,1
Anaerolinea,165,147,0.384416352480225,Core,"Sediment, Urban",216,108,0.763888888888889,1
MFD_g_1100,156,124,0.383954313595032,Core,"Sediment, Urban",216,108,0.722222222222222,1
Gaiella,147,118,0.382106158054262,Core,"Sediment, Urban",216,108,0.680555555555556,4
Methanosarcina,161,135,0.379333924743106,Core,"Sediment, Urban",216,108,0.74537037037037,1
Haliangium,167,141,0.343294891698085,Core,"Sediment, Urban",216,108,0.773148148148148,6
Methanoregula,147,125,0.334516152879426,Core,"Sediment, Urban",216,108,0.680555555555556,1
Pir4_lineage,181,129,0.326661491831153,Core,"Sediment, Urban",216,108,0.837962962962963,6
Hyphomicrobium,179,147,0.325737414060767,Core,"Sediment, Urban",216,108,0.828703703703704,4
Methanobacterium,157,128,0.316496636356916,Core,"Sediment, Urban",216,108,0.726851851851852,1
MFD_g_2750,162,141,0.31187624750499,Core,"Sediment, Urban",216,108,0.75,2
Ilumatobacter,157,109,0.300325275375176,Core,"Sediment, Urban",216,108,0.726851851851852,5
MFD_g_2480,157,123,0.292008575441709,Core,"Sediment, Urban",216,108,0.726851851851852,2
Paenibacillus,160,122,0.290160419900939,Core,"Sediment, Urban",216,108,0.740740740740741,4
Sva0081_sediment_group,155,120,0.275837214459969,Core,"Sediment, Urban",216,108,0.717592592592593,3
MFD_g_8542,147,108,0.261514009018999,Core,"Sediment, Urban",216,108,0.680555555555556,2
Leptolinea,155,123,0.260127892363421,Core,"Sediment, Urban",216,108,0.717592592592593,1
MFD_g_40582,150,114,0.243956531381681,Core,"Sediment, Urban",216,108,0.694444444444445,1
MFD_g_758,163,116,0.242570414726103,Core,"Sediment, Urban",216,108,0.75462962962963,1
Pirellula,168,111,0.241184298070526,Core,"Sediment, Urban",216,108,0.777777777777778,3
MFD_g_5535,155,114,0.230095364825904,Core,"Sediment, Urban",216,108,0.717592592592593,4
MFD_g_4101,150,111,0.202373031714349,Core,"Sediment, Urban",216,108,0.694444444444445,1
Bacillus,377,377,6.21568534019494,Core,"Soil, Agriculture",377,189,1,6
Nocardioides,368,364,2.6305479227222,Core,"Soil, Agriculture",377,189,0.976127320954907,6
Gaiella,364,359,1.98065407646246,Core,"Soil, Agriculture",377,189,0.96551724137931,4
Mycobacterium,377,373,1.81043748047671,Core,"Soil, Agriculture",377,189,1,7
Ca_Udaeobacter,372,366,1.64127977466817,Core,"Soil, Agriculture",377,189,0.986737400530504,3
Streptomyces,373,367,1.53989104020077,Core,"Soil, Agriculture",377,189,0.989389920424403,3
Paenibacillus,373,365,1.38132223616428,Core,"Soil, Agriculture",377,189,0.989389920424403,4
Sporosarcina,351,306,0.976032020838959,Core,"Soil, Agriculture",377,189,0.931034482758621,1
Conexibacter,372,366,0.838376297802274,Core,"Soil, Agriculture",377,189,0.986737400530504,3
Haliangium,376,374,0.822228222599894,Core,"Soil, Agriculture",377,189,0.997347480106101,6
Solirubrobacter,356,346,0.782784563498997,Core,"Soil, Agriculture",377,189,0.944297082228117,2
Sphingomonas,352,335,0.782519840954696,Core,"Soil, Agriculture",377,189,0.93368700265252,2
MFD_g_8204,372,365,0.735663950613362,Core,"Soil, Agriculture",377,189,0.986737400530504,3
Pseudonocardia,364,357,0.730104777183035,Core,"Soil, Agriculture",377,189,0.96551724137931,2
Gemmatimonas,370,357,0.710250586360436,Core,"Soil, Agriculture",377,189,0.981432360742706,2
Ca_Solibacter,354,313,0.599067117753882,Core,"Soil, Agriculture",377,189,0.938992042440318,3
Acidothermus,273,195,0.587948770893227,Core,"Soil, Agriculture",377,189,0.724137931034483,3
MFD_g_198,320,275,0.543475383450606,Core,"Soil, Agriculture",377,189,0.848806366047745,1
MFD_g_144,368,341,0.533151204222854,Core,"Soil, Agriculture",377,189,0.976127320954907,3
MFD_g_264,329,288,0.532092314045649,Core,"Soil, Agriculture",377,189,0.872679045092838,2
MFD_g_2431,354,324,0.517532574109076,Core,"Soil, Agriculture",377,189,0.938992042440318,2
MFD_g_8,359,337,0.503502279261106,Core,"Soil, Agriculture",377,189,0.952254641909814,3
MFD_g_4907,342,297,0.456116943831171,Core,"Soil, Agriculture",377,189,0.907161803713528,2
MFD_g_650,336,289,0.454528608565363,Core,"Soil, Agriculture",377,189,0.891246684350133,2
MFD_g_782,360,327,0.452940273299555,Core,"Soil, Agriculture",377,189,0.954907161803714,4
Bryobacter,364,332,0.437321643185777,Core,"Soil, Agriculture",377,189,0.96551724137931,3
Clostridium_sensu_stricto_1,319,260,0.432291914844052,Core,"Soil, Agriculture",377,189,0.846153846153846,3
Bradyrhizobium,356,320,0.421438290527698,Core,"Soil, Agriculture",377,189,0.944297082228117,3
Ca_Alysiosphaera,348,301,0.411378833844248,Core,"Soil, Agriculture",377,189,0.923076923076923,2
MFD_g_340,330,279,0.393112978287457,Core,"Soil, Agriculture",377,189,0.875331564986737,1
Nakamurella,337,285,0.376964903085077,Core,"Soil, Agriculture",377,189,0.893899204244032,2
MFD_g_5535,353,314,0.360552105338395,Core,"Soil, Agriculture",377,189,0.936339522546419,4
MFD_g_161,286,236,0.357110712262478,Core,"Soil, Agriculture",377,189,0.758620689655172,1
Nitrospira,353,301,0.349963203566342,Core,"Soil, Agriculture",377,189,0.936339522546419,4
MFD_g_512,319,278,0.346257087946124,Core,"Soil, Agriculture",377,189,0.846153846153846,1
MFD_g_812,361,319,0.344668752680316,Core,"Soil, Agriculture",377,189,0.957559681697613,2
RB41,327,276,0.344404030136014,Core,"Soil, Agriculture",377,189,0.86737400530504,1
MFD_g_6,343,274,0.329314845110839,Core,"Soil, Agriculture",377,189,0.909814323607427,3
MFD_g_9823,319,256,0.328255954933634,Core,"Soil, Agriculture",377,189,0.846153846153846,2
Blastococcus,336,271,0.318461220794485,Core,"Soil, Agriculture",377,189,0.891246684350133,1
Microlunatus,297,233,0.312372602275555,Core,"Soil, Agriculture",377,189,0.787798408488064,2
MFD_g_5777,315,259,0.303636758313612,Core,"Soil, Agriculture",377,189,0.835543766578249,2
MFD_g_1634,310,241,0.295695081984572,Core,"Soil, Agriculture",377,189,0.822281167108753,1
