Genus,n_observations,n_abundant,mean_abundance,Genus_type,complex1,group_size,Core,prevalence,fidelity
Erythrobacter,19,17,0.568428360669965,Core,"Sediment, Urban, Saltwater",23,12,0.826086956521739,1
Nonlabens,15,13,0.451271370302872,Core,"Sediment, Urban, Saltwater",23,12,0.652173913043478,1
Pleurocapsa_PCC-7319,17,14,0.35581011889265,Core,"Sediment, Urban, Saltwater",23,12,0.739130434782609,1
Altererythrobacter,18,14,0.347131823309902,Core,"Sediment, Urban, Saltwater",23,12,0.782608695652174,1
Granulosicoccus,16,14,0.329775232144407,Core,"Sediment, Urban, Saltwater",23,12,0.695652173913044,2
Pir4_lineage,15,12,0.286383754230669,Core,"Sediment, Urban, Saltwater",23,12,0.652173913043478,10
Klebsiella,16,14,0.277705458647922,Core,"Sediment, Urban, Saltwater",23,12,0.695652173913044,2
Rhodopirellula,16,15,0.273366310856548,Core,"Sediment, Urban, Saltwater",23,12,0.695652173913044,2
Phycisphaera,18,13,0.212618241777315,Core,"Sediment, Urban, Saltwater",23,12,0.782608695652174,1
Bacillus,377,377,6.21568534019494,Core,"Soil, Agriculture, Fields",377,189,1,13
Nocardioides,368,364,2.6305479227222,Core,"Soil, Agriculture, Fields",377,189,0.976127320954907,11
Gaiella,364,359,1.98065407646246,Core,"Soil, Agriculture, Fields",377,189,0.96551724137931,7
Mycobacterium,377,373,1.81043748047671,Core,"Soil, Agriculture, Fields",377,189,1,15
Ca_Udaeobacter,372,366,1.64127977466817,Core,"Soil, Agriculture, Fields",377,189,0.986737400530504,7
Streptomyces,373,367,1.53989104020077,Core,"Soil, Agriculture, Fields",377,189,0.989389920424403,8
Paenibacillus,373,365,1.38132223616428,Core,"Soil, Agriculture, Fields",377,189,0.989389920424403,10
Sporosarcina,351,306,0.976032020838959,Core,"Soil, Agriculture, Fields",377,189,0.931034482758621,2
Conexibacter,372,366,0.838376297802274,Core,"Soil, Agriculture, Fields",377,189,0.986737400530504,10
Haliangium,376,374,0.822228222599894,Core,"Soil, Agriculture, Fields",377,189,0.997347480106101,12
Solirubrobacter,356,346,0.782784563498997,Core,"Soil, Agriculture, Fields",377,189,0.944297082228117,4
Sphingomonas,352,335,0.782519840954696,Core,"Soil, Agriculture, Fields",377,189,0.93368700265252,2
MFD_g_8204,372,365,0.735663950613362,Core,"Soil, Agriculture, Fields",377,189,0.986737400530504,6
Pseudonocardia,364,357,0.730104777183035,Core,"Soil, Agriculture, Fields",377,189,0.96551724137931,5
Gemmatimonas,370,357,0.710250586360436,Core,"Soil, Agriculture, Fields",377,189,0.981432360742706,4
Ca_Solibacter,354,313,0.599067117753882,Core,"Soil, Agriculture, Fields",377,189,0.938992042440318,8
