bin	cov	MAG_status
MFD00392.bin.2.241	60.64832	MQ
MFD00392.bin.2.245	29.229294	MQ
MFD00392.bin.2.250	36.72849	MQ
MFD00392.bin.2.252	20.536428	MQ
MFD00392.bin.2.254	33.542274	MQ
MFD00392.bin.2.260	24.183592	MQ
MFD00392.bin.2.271	25.017515	MQ
MFD00392.bin.2.275	11.412141	MQ
MFD00392.bin.2.276	36.99506	MQ
MFD00392.bin.2.277	21.234793	MQ
MFD00392.bin.2.278	28.099941	MQ
MFD00392.bin.2.279	49.631836	MQ
MFD00392.bin.2.280	29.721947	MQ
MFD00392.bin.2.284	23.18763	MQ
MFD00392.bin.2.285	20.597319	MQ
MFD00392.bin.2.289	26.899042	MQ
MFD00392.bin.2.291	36.23318	MQ
MFD00392.bin.2.292	29.484148	MQ
MFD00392.bin.2.294	19.94091	MQ
MFD00392.bin.2.295	16.966696	MQ
MFD00392.bin.2.297	28.639729	MQ
MFD00392.bin.2.300	41.92521	MQ
MFD00392.bin.2.302	21.43244	MQ
MFD00392.bin.2.307	16.022753	MQ
MFD00392.bin.2.313	26.32959	MQ
MFD00392.bin.2.316	20.596489	MQ
MFD00392.bin.2.318	20.027237	MQ
MFD00392.bin.2.319	41.82196	MQ
MFD00392.bin.2.324	15.364977	MQ
MFD00392.bin.2.326	64.56595	MQ
MFD00392.bin.2.330	32.920734	MQ
MFD00392.bin.2.333	94.51513	MQ
MFD00392.bin.2.336	16.342968	MQ
MFD00392.bin.2.340	32.1448	MQ
MFD00392.bin.2.342	25.56894	MQ
MFD00392.bin.2.345	60.191345	MQ
MFD00392.bin.2.348	18.094044	MQ
MFD00392.bin.2.353	14.21014	MQ
MFD00392.bin.2.355	16.211803	MQ
MFD00392.bin.2.36	22.766638	MQ
MFD00392.bin.2.360	15.976099	MQ
MFD00392.bin.2.363	29.759356	MQ
MFD00392.bin.2.365	35.256252	MQ
MFD00392.bin.2.371	34.56792	MQ
MFD00392.bin.2.372	39.30635	MQ
MFD00392.bin.2.374	16.020401	MQ
MFD00392.bin.2.375	14.695476	MQ
MFD00392.bin.2.381	37.645832	MQ
MFD00392.bin.2.384	46.65977	MQ
MFD00392.bin.2.387	22.417482	MQ
MFD00392.bin.2.39	23.213284	MQ
MFD00392.bin.2.40	24.513508	MQ
MFD00392.bin.2.401	35.627277	MQ
MFD00392.bin.2.402	22.461262	MQ
MFD00392.bin.2.404	26.211304	MQ
MFD00392.bin.2.405	48.848186	MQ
MFD00392.bin.2.43	26.051699	MQ
MFD00392.bin.2.44	26.149347	MQ
MFD00392.bin.2.46	15.496458	MQ
MFD00392.bin.2.48	60.895245	MQ
MFD00392.bin.2.49	26.102076	MQ
MFD00392.bin.2.52	29.886251	MQ
MFD00392.bin.2.55	32.872093	MQ
MFD00392.bin.2.59	18.303871	MQ
MFD00392.bin.2.6	25.203417	MQ
MFD00392.bin.2.63	14.680155	MQ
MFD00392.bin.2.64	38.65976	MQ
MFD00392.bin.2.65	29.417568	MQ
MFD00392.bin.2.68	19.430368	MQ
MFD00392.bin.2.69	17.462831	MQ
MFD00392.bin.2.7	19.090958	MQ
MFD00392.bin.2.71	23.885561	MQ
MFD00392.bin.2.78	22.57458	MQ
MFD00392.bin.2.80	17.198425	MQ
MFD00392.bin.2.81	20.180569	MQ
MFD00392.bin.2.85	20.3781	MQ
MFD00392.bin.2.86	27.156855	MQ
MFD00392.bin.2.99	45.308342	MQ
MFD00392.bin.3.141	26.193417	MQ
MFD00392.bin.3.147	21.13845	MQ
MFD00392.bin.3.167	37.81046	MQ
MFD00392.bin.3.170	22.284626	MQ
MFD00392.bin.3.203	59.364204	MQ
MFD00392.bin.3.204	16.244871	MQ
MFD00392.bin.3.213	31.80647	MQ
MFD00392.bin.3.302	22.555553	MQ
MFD00392.bin.3.308	15.44251	MQ
MFD00392.bin.3.431	48.79652	MQ
MFD00392.bin.3.433	69.188255	MQ
MFD00392.bin.3.529	32.936817	MQ
MFD00392.bin.3.547	21.387669	MQ
MFD00392.bin.3.555	19.72281	MQ
MFD00392.bin.3.570	40.327427	MQ
MFD00392.bin.3.594	23.936506	MQ
MFD00392.bin.3.628	38.25812	MQ
MFD00392.bin.3.648	29.205442	MQ
MFD00392.bin.3.658	26.738716	MQ
MFD00392.bin.3.673	25.04403	MQ
MFD00392.bin.3.715	30.17615	MQ
MFD00392.bin.3.720	55.903236	MQ
MFD00392.bin.3.723	16.785957	MQ
MFD00392.bin.3.744	27.969172	MQ
MFD00392.bin.3.845	13.192002	MQ
MFD00392.bin.3.88	21.305414	MQ
MFD00392.bin.3.929	19.729136	MQ
MFD00392.bin.3.937	20.567	MQ
