cluster	cluster_qual	OWC	MFD-SR	TPMC	MFD-LR	GEM	SMAG	RBG	SPIRE
2019_TBLU-07_bin.6.purify	MQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
2019_TBLU-07_bin.7.purify	MQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
2019_TBLU-09_bin.19.purify	MQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
LIB-MJ334-D2_01.19	MQ	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
3300027137_5	MQ	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE
3300027373_17	HQ	FALSE	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
spire_mag_00405553	MQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
2019_TBLU-09_bin.30.purify	MQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
2019_TBLU-09_bin.38.purify	MQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
spire_mag_01664490	MQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
3300027776_9	MQ	FALSE	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE
spire_mag_01597242	MQ	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
spire_mag_01085158	MQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
2020_LU-w9_bin.216.purify	MQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
spire_mag_01598130	MQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE
